name,women_men_literacy_ratioNEW
Guinea-Bissau,0.34
Afghanistan,0.36
Chad,0.42
Niger,0.44
Mali,0.52
Benin,0.56
Guinea,0.57
Mozambique,0.61
Sierra Leone,0.63
Gambia,0.63
Eritrea,0.63
Yemen,0.65
Burkina Faso,0.66
Central African Republic,0.67
Pakistan,0.69
Djibouti,0.69
Senegal,0.7
Cote d'Ivoire,0.74
Morocco,0.75
Nepal,0.75
Angola,0.75
Togo,0.76
Nigeria,0.77
Comoros,0.77
Cameroon,0.8
India,0.8
Democratic Republic of the Congo,0.81
Mauritania,0.82
Sudan,0.84
Malawi,0.86
Ghana,0.86
Uganda,0.86
Egypt,0.88
Bangladesh,0.9
Lebanon,0.9
Cambodia,0.9
Laos,0.9
Guatemala,0.91
Iraq,0.91
Zambia,0.91
Algeria,0.92
Burundi,0.92
Papua New,0.93
Haiti,0.93
Tanzania,0.94
Madagascar,0.94
Netherlands Antilles,0.94
Turkey,0.95
Syria,0.95
Tunisia,0.96
Libya,0.97
Republic of the Congo,0.98
Rwanda,0.98
Hong Kong,0.98
Suriname,0.98
Bolivia,0.98
Saudi Arabia,0.98
Gabon,0.98
United Arab Emirates,0.98
Peru,0.98
Burma,0.98
Panama,0.99
Fiji,0.99
Sao Tome and Principe Soa ,0.99
Oman,0.99
China,0.99
Vietnam,0.99
Iran,0.99
Turkmenistan,1
Serbia and Montenegro,1
Bosnia and Herzegovina,1
South Korea,1
Tajikistan,1
Bahrain,1
Indonesia,1
Portugal,1
Malaysia,1
Barbados,1
Ecuador,1
Thailand,1
Moldova,1
Estonia,1
Uzbekistan,1
Italy,1
Maldives,1
Israel,1
Zimbabwe,1
Jordan,1
Trinidad and Tobago,1
Hungary,1
Mexico,1
Greece,1
Paraguay,1
Lithuania,1
Aruba,1
Argentina,1
Slovenia,1
Spain,1
Samoa,1
Albania,1
Macau,1
Equatorial Guinea,1
Azerbaijan,1
Cyprus,1
Cuba,1
Armenia,1
Ukraine,1
Tonga,1
Russia,1
Bulgaria,1
Romania,1
Latvia,1
Brunei,1
Belarus,1
Chile,1
Puerto Rico,1
Croatia,1
Kuwait,1
Kazakhstan,1
Poland,1
Kyrgyzstan,1
New Caledonia,1
Guyana,1
Singapore,1
Costa Rica,1.01
Belize,1.01
Colombia,1.01
Martinique,1.01
Cape Verde,1.01
Kenya,1.01
Mongolia,1.01
South Africa,1.01
Seychelles,1.01
Uruguay,1.01
Sri Lanka,1.01
Mauritius,1.02
Venezuela,1.02
The Bahamas,1.02
Brazil,1.02
Swaziland,1.03
Dominican Republic,1.03
Philippines,1.03
Qatar,1.03
Namibia,1.03
El Salvador,1.04
Botswana,1.04
Malta,1.04
Honduras,1.05
Liberia,1.06
Reunion,1.06
Nicaragua,1.06
Jamaica,1.1
Ethiopia,1.18
Lesotho,1.31
